season,week,posteam,game_id,player_id,season_player_id,full_name,position,pass_yards_gained,pass_touchdown,pass_interception,pass_two_point_conv,receptions,rec_attempt,rec_yards_gained,rec_touchdown,rec_fumble_lost,rec_two_point_conv,rush_attempt,rush_yards_gained,rush_touchdown,rush_two_point_conv,rush_fumble_lost,total_fantasy_points,half_ppg,round,pick
2023,,,,00-0038551,2023 00-0038551,Kendre Miller,RB,,,,,,,,,,,,,,,,0,,3,71
2016,,,,00-0033118,2016 00-0033118,Kenyan Drake,RB,,,,,,,,,,,,,,,,0,,3,73
2016,,,,00-0033118,2016 00-0033118,Kenyan Drake,RB,,,,,,,,,,,,,,,,0,,3,73
2016,,,,00-0033118,2016 00-0033118,Kenyan Drake,RB,,,,,,,,,,,,,,,,0,,3,73
2021,,,,00-0036984,2021 00-0036984,Trey Sermon,RB,,,,,,,,,,,,,,,,0,,3,88
2021,,,,00-0036984,2021 00-0036984,Trey Sermon,RB,,,,,,,,,,,,,,,,0,,3,88
2021,,,,00-0036984,2021 00-0036984,Trey Sermon,RB,,,,,,,,,,,,,,,,0,,3,88
2021,,,,00-0036984,2021 00-0036984,Trey Sermon,RB,,,,,,,,,,,,,,,,0,,3,88
2021,,,,00-0036984,2021 00-0036984,Trey Sermon,RB,,,,,,,,,,,,,,,,0,,3,88
2024,,,,00-0039738,2024 00-0039738,Blake Corum,RB,,,,,,,,,,,,,,,,0,,3,83
2024,,,,00-0039738,2024 00-0039738,Blake Corum,RB,,,,,,,,,,,,,,,,0,,3,83
2024,,,,00-0039738,2024 00-0039738,Blake Corum,RB,,,,,,,,,,,,,,,,0,,3,83
2016,,,,00-0032393,2016 00-0032393,C.J. Prosise,RB,,,,,,,,,,,,,,,,0,,3,90
2016,,,,00-0032393,2016 00-0032393,C.J. Prosise,RB,,,,,,,,,,,,,,,,0,,3,90
2016,,,,00-0032393,2016 00-0032393,C.J. Prosise,RB,,,,,,,,,,,,,,,,0,,3,90
2016,,,,00-0032393,2016 00-0032393,C.J. Prosise,RB,,,,,,,,,,,,,,,,0,,3,90
2017,,,,00-0033925,2017 00-0033925,D'Onta Foreman,RB,,,,,,,,,,,,,,,,0,,3,89
2019,,,,00-0035657,2019 00-0035657,Damien Harris,RB,,,,,,,,,,,,,,,,0,,3,87
2019,,,,00-0035657,2019 00-0035657,Damien Harris,RB,,,,,,,,,,,,,,,,0,,3,87
2019,,,,00-0035657,2019 00-0035657,Damien Harris,RB,,,,,,,,,,,,,,,,0,,3,87
2019,,,,00-0035657,2019 00-0035657,Damien Harris,RB,,,,,,,,,,,,,,,,0,,3,87
2019,,,,00-0035657,2019 00-0035657,Damien Harris,RB,,,,,,,,,,,,,,,,0,,3,87
2019,,,,00-0035657,2019 00-0035657,Damien Harris,RB,,,,,,,,,,,,,,,,0,,3,87
2019,,,,00-0035657,2019 00-0035657,Damien Harris,RB,,,,,,,,,,,,,,,,0,,3,87
2019,,,,00-0035657,2019 00-0035657,Damien Harris,RB,,,,,,,,,,,,,,,,0,,3,87
2019,,,,00-0035657,2019 00-0035657,Damien Harris,RB,,,,,,,,,,,,,,,,0,,3,87
2019,,,,00-0035657,2019 00-0035657,Damien Harris,RB,,,,,,,,,,,,,,,,0,,3,87
2019,,,,00-0035657,2019 00-0035657,Damien Harris,RB,,,,,,,,,,,,,,,,0,,3,87
2019,,,,00-0035657,2019 00-0035657,Damien Harris,RB,,,,,,,,,,,,,,,,0,,3,87
2019,,,,00-0035664,2019 00-0035664,Darrell Henderson,RB,,,,,,,,,,,,,,,,0,,3,70
2019,,,,00-0035664,2019 00-0035664,Darrell Henderson,RB,,,,,,,,,,,,,,,,0,,3,70
2019,,,,00-0035664,2019 00-0035664,Darrell Henderson,RB,,,,,,,,,,,,,,,,0,,3,70
2019,,,,00-0035664,2019 00-0035664,Darrell Henderson,RB,,,,,,,,,,,,,,,,0,,3,70
2019,,,,00-0035664,2019 00-0035664,Darrell Henderson,RB,,,,,,,,,,,,,,,,0,,3,70
2019,,,,00-0035664,2019 00-0035664,Darrell Henderson,RB,,,,,,,,,,,,,,,,0,,3,70
2019,,,,00-0035664,2019 00-0035664,Darrell Henderson,RB,,,,,,,,,,,,,,,,0,,3,70
2019,,,,00-0035664,2019 00-0035664,Darrell Henderson,RB,,,,,,,,,,,,,,,,0,,3,70
2020,,,,00-0036297,2020 00-0036297,Darrynton Evans,RB,,,,,,,,,,,,,,,,0,,3,93
2020,,,,00-0036297,2020 00-0036297,Darrynton Evans,RB,,,,,,,,,,,,,,,,0,,3,93
2020,,,,00-0036297,2020 00-0036297,Darrynton Evans,RB,,,,,,,,,,,,,,,,0,,3,93
2019,,,,00-0035250,2019 00-0035250,Devin Singletary,RB,,,,,,,,,,,,,,,,0,,3,74
2020,,,,00-0036450,2020 00-0036450,Ke'Shawn Vaughn,RB,,,,,,,,,,,,,,,,0,,3,76
2020,,,,00-0036450,2020 00-0036450,Ke'Shawn Vaughn,RB,,,,,,,,,,,,,,,,0,,3,76
2020,,,,00-0036450,2020 00-0036450,Ke'Shawn Vaughn,RB,,,,,,,,,,,,,,,,0,,3,76
2020,,,,00-0036450,2020 00-0036450,Ke'Shawn Vaughn,RB,,,,,,,,,,,,,,,,0,,3,76
2020,,,,00-0036450,2020 00-0036450,Ke'Shawn Vaughn,RB,,,,,,,,,,,,,,,,0,,3,76
2020,,,,00-0036450,2020 00-0036450,Ke'Shawn Vaughn,RB,,,,,,,,,,,,,,,,0,,3,76
2020,,,,00-0036450,2020 00-0036450,Ke'Shawn Vaughn,RB,,,,,,,,,,,,,,,,0,,3,76
2020,,,,00-0036450,2020 00-0036450,Ke'Shawn Vaughn,RB,,,,,,,,,,,,,,,,0,,3,76
2020,,,,00-0036450,2020 00-0036450,Ke'Shawn Vaughn,RB,,,,,,,,,,,,,,,,0,,3,76
2020,,,,00-0036450,2020 00-0036450,Ke'Shawn Vaughn,RB,,,,,,,,,,,,,,,,0,,3,76
2015,,,,00-0031939,2015 00-0031939,Matt Jones,RB,,,,,,,,,,,,,,,,0,,3,95
2015,,,,00-0031939,2015 00-0031939,Matt Jones,RB,,,,,,,,,,,,,,,,0,,3,95
2015,,,,00-0031939,2015 00-0031939,Matt Jones,RB,,,,,,,,,,,,,,,,0,,3,95
2022,,,,00-0037256,2022 00-0037256,Rachaad White,RB,,,,,,,,,,,,,,,,0,,3,91
2023,,,,00-0038555,2023 00-0038555,Tank Bigsby,RB,,,,,,,,,,,,,,,,0,,3,88
2023,,,,00-0038555,2023 00-0038555,Tank Bigsby,RB,,,,,,,,,,,,,,,,0,,3,88
2023,,,,00-0038555,2023 00-0038555,Tank Bigsby,RB,,,,,,,,,,,,,,,,0,,3,88
2023,,,,00-0038555,2023 00-0038555,Tank Bigsby,RB,,,,,,,,,,,,,,,,0,,3,88
2024,,,,00-0039921,2024 00-0039921,Trey Benson,RB,,,,,,,,,,,,,,,,0,,3,66
2022,,,,00-0037827,2022 00-0037827,Tyrion Davis-Price,RB,,,,,,,,,,,,,,,,0,,3,93
2022,,,,00-0037827,2022 00-0037827,Tyrion Davis-Price,RB,,,,,,,,,,,,,,,,0,,3,93
2022,,,,00-0037827,2022 00-0037827,Tyrion Davis-Price,RB,,,,,,,,,,,,,,,,0,,3,93
