full_name,posteam,proj_fp,week,position
Jayden Daniels,WSH,17.4,1,QB
Brock Bowers,LV,10.58,1,TE
Bo Nix,DEN,13.56,1,QB
Brian Thomas Jr.,JAX,10.05,1,WR
Ladd McConkey,LAC,9.83,1,WR
Malik Nabers,NYG,12.58,1,WR
Xavier Worthy,KC,11.5,1,WR
Rome Odunze,CHI,10.88,1,WR
Marvin Harrison Jr.,ARI,13.18,1,WR
Bucky Irving,TB,4.67,1,RB
Keon Coleman,BUF,9.54,1,WR
Ray Davis,BUF,5.1,1,RB
Caleb Williams,CHI,18.53,1,QB
Jayden Daniels,WSH,20.65,2,QB
Malik Nabers,NYG,12.72,2,WR
Xavier Worthy,KC,10.83,2,WR
Keon Coleman,BUF,10.65,2,WR
Brock Bowers,LV,10.47,2,TE
Bo Nix,DEN,14.05,2,QB
Brian Thomas Jr.,JAX,10.66,2,WR
Ladd McConkey,LAC,9.8,2,WR
Ray Davis,BUF,3.85,2,RB
Marvin Harrison Jr.,ARI,12.97,2,WR
Rome Odunze,CHI,10.43,2,WR
Bucky Irving,TB,5.83,2,RB
Caleb Williams,CHI,15.72,2,QB
Jayden Daniels,WSH,17.86,3,QB
Brian Thomas Jr.,JAX,9.61,3,WR
Ladd McConkey,LAC,9.19,3,WR
Ray Davis,BUF,3.99,3,RB
Brock Bowers,LV,13.62,3,TE
Bo Nix,DEN,13.87,3,QB
Malik Nabers,NYG,13.63,3,WR
Xavier Worthy,KC,10.47,3,WR
Keon Coleman,BUF,10.13,3,WR
Bucky Irving,TB,6.5,3,RB
Marvin Harrison Jr.,ARI,14.4,3,WR
Rome Odunze,CHI,9.15,3,WR
Caleb Williams,CHI,14.97,3,QB
Jayden Daniels,WSH,20.17,4,QB
Brock Bowers,LV,14.35,4,TE
Bo Nix,DEN,13.43,4,QB
Caleb Williams,CHI,15.62,4,QB
Malik Nabers,NYG,15.86,4,WR
Xavier Worthy,KC,8.99,4,WR
Keon Coleman,BUF,8.37,4,WR
Bucky Irving,TB,7.24,4,RB
Brian Thomas Jr.,JAX,9.55,4,WR
Ladd McConkey,LAC,8.98,4,WR
Ray Davis,BUF,3.68,4,RB
Marvin Harrison Jr.,ARI,15.17,4,WR
Rome Odunze,CHI,11.72,4,WR
Jayden Daniels,WSH,19.83,5,QB
Caleb Williams,CHI,15.29,5,QB
Brock Bowers,LV,11.8,5,TE
Bo Nix,DEN,11.85,5,QB
Malik Nabers,NYG,0,5,WR
Xavier Worthy,KC,11.17,5,WR
Keon Coleman,BUF,9.4,5,WR
Marvin Harrison Jr.,ARI,13.69,5,WR
Rome Odunze,CHI,8.98,5,WR
Brian Thomas Jr.,JAX,12.03,5,WR
Ladd McConkey,LAC,0.00,5,WR
Ray Davis,BUF,3.83,5,RB
Bucky Irving,TB,8.39,5,RB
Jayden Daniels,WSH,19.38,6,QB
Marvin Harrison Jr.,ARI,13.01,6,WR
Rome Odunze,CHI,9.5,6,WR
Brock Bowers,LV,14.94,6,TE
Bo Nix,DEN,13.7,6,QB
Bucky Irving,TB,13.16,6,RB
Malik Nabers,NYG,0,6,WR
Xavier Worthy,KC,0,6,WR
Keon Coleman,BUF,7.98,6,WR
Brian Thomas Jr.,JAX,12.54,6,WR
Ladd McConkey,LAC,10.17,6,WR
Ray Davis,BUF,2.99,6,RB
Caleb Williams,CHI,16.31,6,QB
Jayden Daniels,WSH,22.59,7,QB
Bucky Irving,TB,7.21,7,RB
Brock Bowers,LV,16.09,7,TE
Bo Nix,DEN,14.25,7,QB
Marvin Harrison Jr.,ARI,11.8,7,WR
Rome Odunze,CHI,0,7,WR
Malik Nabers,NYG,16.61,7,WR
Xavier Worthy,KC,10.86,7,WR
Keon Coleman,BUF,5.85,7,WR
Brian Thomas Jr.,JAX,12.34,7,WR
Ladd McConkey,LAC,11.52,7,WR
Ray Davis,BUF,4.89,7,RB
Caleb Williams,CHI,0,7,QB
Jayden Daniels,WSH,19.78,8,QB
Brock Bowers,LV,15.34,8,TE
Bo Nix,DEN,17.66,8,QB
Tyrone Tracy Jr.,NYG,8.01,8,RB
Malik Nabers,NYG,14.95,8,WR
Xavier Worthy,KC,10.21,8,WR
Keon Coleman,BUF,6.93,8,WR
Jalen McMillan,TB,10.72,8,WR
Brian Thomas Jr.,JAX,13.45,8,WR
Ladd McConkey,LAC,11.75,8,WR
Ray Davis,BUF,4.26,8,RB
Caleb Williams,CHI,17.07,8,QB
Marvin Harrison Jr.,ARI,12.9,8,WR
Rome Odunze,CHI,10.16,8,WR
Bucky Irving,TB,9.58,8,RB
Jayden Daniels,WSH,20.79,9,QB
Brock Bowers,LV,15.72,9,TE
Bo Nix,DEN,14.49,9,QB
Tyrone Tracy Jr.,NYG,12.15,9,RB
Malik Nabers,NYG,16.43,9,WR
Xavier Worthy,KC,10.28,9,WR
Keon Coleman,BUF,11.28,9,WR
Caleb Williams,CHI,16.14,9,QB
Jalen McMillan,TB,0,9,WR
Brian Thomas Jr.,JAX,13.13,9,WR
Ladd McConkey,LAC,11.53,9,WR
Ray Davis,BUF,3.4,9,RB
Marvin Harrison Jr.,ARI,13.17,9,WR
Rome Odunze,CHI,9.89,9,WR
Bucky Irving,TB,9.34,9,RB
Jayden Daniels,WSH,19.76,10,QB
Brock Bowers,LV,0,10,TE
Bo Nix,DEN,15.37,10,QB
Tyrone Tracy Jr.,NYG,13.08,10,RB
Malik Nabers,NYG,17.48,10,WR
Xavier Worthy,KC,9.94,10,WR
Keon Coleman,BUF,0,10,WR
Marvin Harrison Jr.,ARI,13.02,10,WR
Rome Odunze,CHI,9.84,10,WR
Caleb Williams,CHI,15.53,10,QB
Jalen McMillan,TB,8.03,10,WR
Brian Thomas Jr.,JAX,13.33,10,WR
Ladd McConkey,LAC,12.37,10,WR
Ray Davis,BUF,4.97,10,RB
Bucky Irving,TB,9.34,10,RB
Jayden Daniels,WSH,19.88,11,QB
Brock Bowers,LV,15.29,11,TE
Bo Nix,DEN,16.15,11,QB
Tyrone Tracy Jr.,NYG,0,11,RB
Malik Nabers,NYG,0,11,WR
Xavier Worthy,KC,7.45,11,WR
Keon Coleman,BUF,0,11,WR
Jalen McMillan,TB,0,11,WR
Brian Thomas Jr.,JAX,11.45,11,WR
Ladd McConkey,LAC,12.61,11,WR
Ray Davis,BUF,4.09,11,RB
Bucky Irving,TB,0,11,RB
Marvin Harrison Jr.,ARI,0,11,WR
Rome Odunze,CHI,8.32,11,WR
Caleb Williams,CHI,13.34,11,QB
Jayden Daniels,WSH,21.01,12,QB
Brock Bowers,LV,16.15,12,TE
