"depth_chart_position","full_name","gsis_id","team","Total_touches","Total_HVT","TRAP","total_fantasy_points","total_fantasy_points_exp","games","season","ppg","xppg","HVT_perc","Rank","HVT_per_game","Touches_per_game"
"RB","Christian McCaffrey","00-0033280","SF",339,101,0.702064896755162,391.3,330.17,16,"2023",24.45625,20.635625,0.297935103244838,"RB1",6.3125,21.1875
"RB","Breece Hall","00-0038120","NYJ",299,86,0.712374581939799,290.5,243.52,17,"2023",17.0882352941176,14.3247058823529,0.287625418060201,"RB1",5.05882352941176,17.5882352941176
"RB","Travis Etienne","00-0036973","JAX",325,74,0.772307692307692,282.4,263.94,17,"2023",16.6117647058824,15.5258823529412,0.227692307692308,"RB1",4.35294117647059,19.1176470588235
"RB","Rachaad White","00-0037256","TB",336,83,0.75297619047619,267.9,255.44,17,"2023",15.7588235294118,15.0258823529412,0.24702380952381,"RB1",4.88235294117647,19.7647058823529
"RB","Raheem Mostert","00-0031687","MIA",234,58,0.752136752136752,267.7,214.45,15,"2023",17.8466666666667,14.2966666666667,0.247863247863248,"RB1",3.86666666666667,15.6
"RB","Joe Mixon","00-0033897","CIN",309,90,0.70873786407767,267,283.77,17,"2023",15.7058823529412,16.6923529411765,0.29126213592233,"RB1",5.29411764705882,18.1764705882353
"RB","Kyren Williams","00-0037840","LA",260,64,0.753846153846154,254.8,238.53,12,"2023",21.2333333333333,19.8775,0.246153846153846,"RB1",5.33333333333333,21.6666666666667
"RB","Derrick Henry","00-0032764","TEN",308,52,0.831168831168831,246.66,221.34,17,"2023",14.5094117647059,13.02,0.168831168831169,"RB1",3.05882352941176,18.1176470588235
"RB","Bijan Robinson","00-0038542","ATL",272,70,0.742647058823529,246.3,256.15,17,"2023",14.4882352941176,15.0676470588235,0.257352941176471,"RB1",4.11764705882353,16
"RB","Jahmyr Gibbs","00-0039139","DET",234,73,0.688034188034188,242.1,239.8,15,"2023",16.14,15.9866666666667,0.311965811965812,"RB1",4.86666666666667,15.6
"RB","Alvin Kamara","00-0033906","NO",255,97,0.619607843137255,233,242.43,13,"2023",17.9230769230769,18.6484615384615,0.380392156862745,"RB1",7.46153846153846,19.6153846153846
"RB","James Cook","00-0037248","BUF",281,62,0.779359430604982,232.7,226.87,17,"2023",13.6882352941176,13.3452941176471,0.220640569395018,"RB1",3.64705882352941,16.5294117647059
