"depth_chart_position","full_name","gsis_id","team","Total_touches","Total_HVT","total_fantasy_points","total_fantasy_points_exp","games","season","ppg","xppg","Touch_type","percentage","label_y","Rank"
"RB","Christian McCaffrey","00-0033280","SF",339,101,391.3,330.17,16,"2023",24.45625,20.635625,"TRAP",0.702064896755162,0.351032448377581,"RB1"
"RB","Christian McCaffrey","00-0033280","SF",339,101,391.3,330.17,16,"2023",24.45625,20.635625,"HVT_perc",0.297935103244838,0.851032448377581,"RB1"
"RB","Breece Hall","00-0038120","NYJ",299,86,290.5,243.52,17,"2023",17.0882352941176,14.3247058823529,"TRAP",0.712374581939799,0.3561872909699,"RB1"
"RB","Breece Hall","00-0038120","NYJ",299,86,290.5,243.52,17,"2023",17.0882352941176,14.3247058823529,"HVT_perc",0.287625418060201,0.8561872909699,"RB1"
"RB","Travis Etienne","00-0036973","JAX",325,74,282.4,263.94,17,"2023",16.6117647058824,15.5258823529412,"TRAP",0.772307692307692,0.386153846153846,"RB1"
"RB","Travis Etienne","00-0036973","JAX",325,74,282.4,263.94,17,"2023",16.6117647058824,15.5258823529412,"HVT_perc",0.227692307692308,0.886153846153846,"RB1"
"RB","Rachaad White","00-0037256","TB",336,83,267.9,255.44,17,"2023",15.7588235294118,15.0258823529412,"TRAP",0.75297619047619,0.376488095238095,"RB1"
"RB","Rachaad White","00-0037256","TB",336,83,267.9,255.44,17,"2023",15.7588235294118,15.0258823529412,"HVT_perc",0.24702380952381,0.876488095238095,"RB1"
"RB","Raheem Mostert","00-0031687","MIA",234,58,267.7,214.45,15,"2023",17.8466666666667,14.2966666666667,"TRAP",0.752136752136752,0.376068376068376,"RB1"
"RB","Raheem Mostert","00-0031687","MIA",234,58,267.7,214.45,15,"2023",17.8466666666667,14.2966666666667,"HVT_perc",0.247863247863248,0.876068376068376,"RB1"
"RB","Joe Mixon","00-0033897","CIN",309,90,267,283.77,17,"2023",15.7058823529412,16.6923529411765,"TRAP",0.70873786407767,0.354368932038835,"RB1"
"RB","Joe Mixon","00-0033897","CIN",309,90,267,283.77,17,"2023",15.7058823529412,16.6923529411765,"HVT_perc",0.29126213592233,0.854368932038835,"RB1"
"RB","Kyren Williams","00-0037840","LA",260,64,254.8,238.53,12,"2023",21.2333333333333,19.8775,"TRAP",0.753846153846154,0.376923076923077,"RB1"
"RB","Kyren Williams","00-0037840","LA",260,64,254.8,238.53,12,"2023",21.2333333333333,19.8775,"HVT_perc",0.246153846153846,0.876923076923077,"RB1"
"RB","Derrick Henry","00-0032764","TEN",308,52,246.66,221.34,17,"2023",14.5094117647059,13.02,"TRAP",0.831168831168831,0.415584415584416,"RB1"
"RB","Derrick Henry","00-0032764","TEN",308,52,246.66,221.34,17,"2023",14.5094117647059,13.02,"HVT_perc",0.168831168831169,0.915584415584416,"RB1"
"RB","Bijan Robinson","00-0038542","ATL",272,70,246.3,256.15,17,"2023",14.4882352941176,15.0676470588235,"TRAP",0.742647058823529,0.371323529411765,"RB1"
"RB","Bijan Robinson","00-0038542","ATL",272,70,246.3,256.15,17,"2023",14.4882352941176,15.0676470588235,"HVT_perc",0.257352941176471,0.871323529411765,"RB1"
"RB","Jahmyr Gibbs","00-0039139","DET",234,73,242.1,239.8,15,"2023",16.14,15.9866666666667,"TRAP",0.688034188034188,0.344017094017094,"RB1"
"RB","Jahmyr Gibbs","00-0039139","DET",234,73,242.1,239.8,15,"2023",16.14,15.9866666666667,"HVT_perc",0.311965811965812,0.844017094017094,"RB1"
"RB","Alvin Kamara","00-0033906","NO",255,97,233,242.43,13,"2023",17.9230769230769,18.6484615384615,"TRAP",0.619607843137255,0.309803921568627,"RB1"
"RB","Alvin Kamara","00-0033906","NO",255,97,233,242.43,13,"2023",17.9230769230769,18.6484615384615,"HVT_perc",0.380392156862745,0.809803921568627,"RB1"
"RB","James Cook","00-0037248","BUF",281,62,232.7,226.87,17,"2023",13.6882352941176,13.3452941176471,"TRAP",0.779359430604982,0.389679715302491,"RB1"
"RB","James Cook","00-0037248","BUF",281,62,232.7,226.87,17,"2023",13.6882352941176,13.3452941176471,"HVT_perc",0.220640569395018,0.889679715302491,"RB1"
"RB","Saquon Barkley","00-0034844","NYG",288,56,223.2,223.55,14,"2023",15.9428571428571,15.9678571428571,"TRAP",0.805555555555556,0.402777777777778,"RB2"
"RB","Saquon Barkley","00-0034844","NYG",288,56,223.2,223.55,14,"2023",15.9428571428571,15.9678571428571,"HVT_perc",0.194444444444444,0.902777777777778,"RB2"
"RB","Tony Pollard","00-0035261","DAL",307,85,222.6,280.69,17,"2023",13.0941176470588,16.5111764705882,"TRAP",0.723127035830619,0.361563517915309,"RB2"
"RB","Tony Pollard","00-0035261","DAL",307,85,222.6,280.69,17,"2023",13.0941176470588,16.5111764705882,"HVT_perc",0.276872964169381,0.861563517915309,"RB2"
"RB","Isiah Pacheco","00-0037197","KC",249,64,213.9,216.73,14,"2023",15.2785714285714,15.4807142857143,"TRAP",0.742971887550201,0.3714859437751,"RB2"
"RB","Isiah Pacheco","00-0037197","KC",249,64,213.9,216.73,14,"2023",15.2785714285714,15.4807142857143,"HVT_perc",0.257028112449799,0.8714859437751,"RB2"
"RB","Jerome Ford","00-0037267","CLE",248,54,211.2,202.12,17,"2023",12.4235294117647,11.8894117647059,"TRAP",0.782258064516129,0.391129032258065,"RB2"
"RB","Jerome Ford","00-0037267","CLE",248,54,211.2,202.12,17,"2023",12.4235294117647,11.8894117647059,"HVT_perc",0.217741935483871,0.891129032258065,"RB2"
"RB","David Montgomery","00-0035685","DET",235,47,205.2,191.74,14,"2023",14.6571428571429,13.6957142857143,"TRAP",0.8,0.4,"RB2"
